alias_id,college_id,alias_name,alias_normalized,authority,year,source_id,notes
406,818,"Jawaharlal Nehru Medical College, AMU,ALIGARH",jawaharlal nehru medical college amu,MCC,,,
407,724,"GOVT.MEDICAL COLLEGE,THIRUVANANTHAPU RAM",governmentmedical college,MCC,,,
408,463,"Govt institute of Medcial Sciences, GREATER NOIDA",government institute of medcial sciences,MCC,,,
409,23,"AIIMS, Madurai",aiims,MCC,,,
410,1244,"Shri Atal Bihari Vajpayee Medical College & Research Institute, Bengaluru",shri atal bihari vajpayee medical college and research institute,MCC,,,
411,123,"B.R.D. MEDICAL COLLEGE, GORAKHPUR",b r d medical college,MCC,,,
412,298,"Employees State Insurance Corporation Medical College, Alwar",employees state insurance corporation medical college,MCC,,,
413,354,"GAJRA RAJA MEDICAL COLLEGE, GWALIOR",gajra raja medical college,MCC,,,
414,216,"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI",college of medicine and jnm hospital,MCC,,,
415,538,"Government Medical College, ESIC, Kollam",government medical college esic,MCC,,,
416,1248,SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,shri kalyan government medical college sikar,MCC,,,
417,91,"Autonomous State Medical College ,Etah",autonomous state medical college,MCC,,,
418,1150,"Rani Durgavati Medical College, Banda",rani durgavati medical college,MCC,,,
419,109,Autonomous State Medical college Society Hardoi,autonomous state medical college society hardoi,MCC,,,
420,1228,"Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad",shaheed nirmal mahto medical college and hospital,MCC,,,
421,316,"ESIC Medical College & Hospital, Bihta",esic medical college and hospital,MCC,,,
422,91,"Autonomous State Medical College , Fatehpur",autonomous state medical college,MCC,,,
423,962,"MAHARSHI DEVRAHA BABA AUTONOMOUS STATE. MEDICAL COLLEGE, DEORIA",maharshi devraha baba autonomous state medical college,MCC,,,
424,1374,"UNS AUTONOMOUS STATE MEDICAL COLLEGES, Jaunpur",uns autonomous state medical colleges,MCC,,,
425,91,"Autonomous State Medical College, Ghazipur",autonomous state medical college,MCC,,,
426,91,"Autonomous State Medical College, Siddharthnagar",autonomous state medical college,MCC,,,
427,108,"Autonomous State Medical College Society , Mirzapur",autonomous state medical college society,MCC,,,
428,91,"Autonomous State Medical College, Pratapgarh",autonomous state medical college,MCC,,,
429,1285,"Sri Jagannath Medical College & Hospital, Puri",sri jagannath medical college and hospital,MCC,,,
430,176,"C. Institute of Medical Sciences, Chamarajanagar",c institute of medical sciences,MCC,,,
431,1274,"SOBAN SINGH JEENA GOVERNMENT INSTITUTE OF MEDICAL SCIENCE & RESEARCH, ALMORA",soban singh jeena government institute of medical science and research,MCC,,,
432,1233,"SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL, HAZARIBAG ( Formerly called as- Hazaribagh Medical College, Hazaribag)",sheikh bhikhari medical college and hospital hazaribag formerly called as hazaribagh medical college hazaribag,MCC,,,
433,471,"Government Medical College, Sindhudurg",government medical college,MCC,,,
434,235,Deben Mahata Government Medical College & Hospital,deben mahata government medical college and hospital,MCC,,,
435,563,"Government Medical College, Kanker, Chhattisgarh",government medical college kanker,MCC,,,
436,471,"Government Medical College, Krishnagiri",government medical college,MCC,,,
437,471,"Government Medical College, Nilgiris",government medical college,MCC,,,
438,471,"Government Medical College, Tiruppur",government medical college,MCC,,,
439,1010,"Medinirai Medical College (previously Known as Palamu Medical College), Palamu",medinirai medical college previously known as palamu medical college,MCC,,,
440,1089,"Phulo Jhano Medical College , Dumka",phulo jhano medical college,MCC,,,
441,487,"GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL, SATARA",government medical college and general hospital,MCC,,,
442,404,GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,goverment medical college nandurbar mahararastra,MCC,,,
443,490,"Government Medical College & Hospital, Alibag-Raigad",government medical college and hospital alibag raigad,MCC,,,
444,244,"Diphu Medical College & Hospital, Assam",diphu medical college and hospital,MCC,,,
445,471,"Government Medical College, Ramanathapuram",government medical college,MCC,,,
446,200,"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES, KARNATAKA",chikkaballapura institute of medical sciences,MCC,,,
447,151,"Bhima Bhoi Medical College and Hospital , Balangir",bhima bhoi medical college and hospital,MCC,,,
448,471,"Government Medical College, Thiruvallur",government medical college,MCC,,,
449,919,"Lakhimpur Medical College, North Lakhimpur, Assam",lakhimpur medical college north lakhimpur,MCC,,,
450,471,"Government Medical College, Ananthapuram",government medical college,MCC,,,
451,471,"Government Medical College, Ariyalur",government medical college,MCC,,,
452,471,"Government medical College, Namakkal",government medical college,MCC,,,
453,471,"Government Medical College, Virudhunagar",government medical college,MCC,,,
454,471,"Government Medical College, Dindigul",government medical college,MCC,,,
455,471,"Government Medical College, Kallakurichi",government medical college,MCC,,,
456,471,"Government Medical College, Nagapattinam",government medical college,MCC,,,
457,751,"Hamdard Inst of Med Sciences and Research, New Delhi",hamdard institute of medical sciences and research,MCC,,,
458,279,"Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH",doctor ziauddin ahmed dental college and hospital,MCC,,,
459,1389,VELS MEDICAL COLLEGE & HOSPITAL,vels medical college and hospital,MCC,,,
460,964,"Mahatma Gandhi Medical College, Pondicherry",mahatma gandhi medical college,MCC,,,
461,844,"JSS Medical College, Mysuru",jss medical college,MCC,,,
462,803,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College, Hubballi",jagadguru gangadhar mahaswamigalu moorusavirmath medical college,MCC,,,
463,1014,"Meenakshi Medical College Hospital and Research Institute, Kanchipuram",meenakshi medical college hospital and research institute,MCC,,,
