college_id,college_code,college_name,name_normalized,state,city,ownership,counselling,courses,annual_intake,fee_govt_quota,fee_private,nmc_approved,source_id,notes
69,,"Amrita Institute of Medical Science, Kochi,Amrita School of Medicine Amrita Institute of Medical Sciences AIMS Ponekkara P.O Kochi, Kerala, 682041",amrita institute of medical science kochi amrita school of medicine amrita institute of medical sciences aims ponekkara p o kochi kerala,Kerala,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
70,,"Amrita School of Dentistry, Kochi",amrita school of dentistry,Kerala,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
71,,"Amrita School of Dentistry, Kochi,Amrita School of Dentistry, Amrita Institute of Medical Sciences (AIMS), AIMS Ponekkara P.O, Kochi, Kerala, 682041",amrita school of dentistry kochi amrita school of dentistry amrita institute of medical sciences aims aims ponekkara p o kochi kerala,Kerala,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
72,,Amrita School of Medicine Faridabad,amrita school of medicine faridabad,Haryana,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
73,,"Amrita School of Medicine Faridabad,Mata Amritanandmayi Marg, Sector-88, Faridabad, Haryana, 121002",amrita school of medicine faridabad mata amritanandmayi marg sector 88 faridabad haryana,Haryana,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
74,,Andaman and Nicobar Islands Institute of Medical S,andaman and nicobar islands institute of medical s,Andaman And Nicobar,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
75,,"Andaman and Nicobar Islands Institute of Medical S,Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104, Andaman And Nicobar Islands, 744104",andaman and nicobar islands institute of medical s director aniims dhs annexe building atlanta point port blair andaman and nicobar islands,Andaman And Nicobar,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
76,,"Andhra Medical College, Visakhapatnam",andhra medical college,Bihar,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
77,,"Andhra Medical College, Visakhapatnam,MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM, Andhra Pradesh, 530002",andhra medical college visakhapatnam maharani peta near collectorate kgh campus visakhapatnam andhra pradesh,Andhra Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
78,,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA",anugrah narayan magadh medical college,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
79,,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA,SHERGHATIROAD, GAYA, Bihar, 823001",anugrah narayan magadh medical college gaya sherghatiroad gaya bihar,Bihar,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
80,,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA,SHERGHATIROAD, GAYAJI, Bihar, 823001",anugrah narayan magadh medical college gaya sherghatiroad gayaji bihar,Bihar,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
81,,"ASSAM MEDICAL COLLEGE, DIBRUGARH",assam medical college,Assam,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
82,,"ASSAM MEDICAL COLLEGE, DIBRUGARH,Borbari, Dibrugarh, Assam, 786002",assam medical college dibrugarh borbari dibrugarh assam,Assam,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
83,,"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA",atal bihari vajpayee government medical college,Bihar,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
84,,"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA,NH 86 INFRONT OF KHEL PARISAR SANCHI ROAD VIDISHA, Madhya Pradesh, 464001",atal bihari vajpayee government medical college vidisha nh 86 infront of khel parisar sanchi road vidisha madhya pradesh,Madhya Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
85,,"Atal Bihari Vajpayee Institute of Medical Sciences, New Delhi",atal bihari vajpayee institute of medical sciences,Delhi,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
86,,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",atal bihari vajpayee institute of medical sciences and doctor rml hospital,Delhi,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
87,,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001",atal bihari vajpayee institute of medical sciences and doctor rml hospital new delhi abvims doctor rml hospital b k s marg new delhi delhi nct,Delhi (NCT),,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
88,,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI,Post Graduate Institute of Medical Education and Research, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001",atal bihari vajpayee institute of medical sciences and doctor rml hospital new delhi post graduate institute of medical education and research doctor rml hospital b k s marg new delhi delhi nct,Delhi (NCT),,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
89,,"Autonomous State Medical Collage, Kushinagar, Uttar Pradesh",autonomous state medical collage kushinagar,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
90,,"Autonomous State Medical Collage, Kushinagar, Uttar Pradesh,Autonomous State Medical Collage, Kubersthan Road, Harka, Kushinagar, Uttar Pradesh, 274304",autonomous state medical collage kushinagar uttar pradesh autonomous state medical collage kubersthan road harka kushinagar uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
91,,"Autonomous State Medical College ,Etah",autonomous state medical college,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
