year,college_code,college_name,discipline,course,seat_type,fee_per_annum
2021,D102,"Dr.M.R.Ambedkar Dental College and Hospital,Bangalore",DENTAL,BDS,NRI,939400
2021,D102,"Dr.M.R.Ambedkar Dental College and Hospital,Bangalore",DENTAL,BDS,OTHERS,939400
2021,D103,"Vokkaligara Sangha Dental College and Hospital,Bangalore",DENTAL,BDS,GOVT,95808
2021,D103,"Vokkaligara Sangha Dental College and Hospital,Bangalore",DENTAL,BDS,PRIV,562450
2021,D103,"Vokkaligara Sangha Dental College and Hospital,Bangalore",DENTAL,BDS,NRI,562450
2021,D103,"Vokkaligara Sangha Dental College and Hospital,Bangalore",DENTAL,BDS,OTHERS,562450
2021,D104,"M.S.Ramaiah Univerisity of Applied Sciences,Bangalore",DENTAL,BDS,GOVT,98858
2021,D104,"M.S.Ramaiah Univerisity of Applied Sciences,Bangalore",DENTAL,BDS,PRIV,681523
2021,D104,"M.S.Ramaiah Univerisity of Applied Sciences,Bangalore",DENTAL,BDS,NRI,879500
2021,D104,"M.S.Ramaiah Univerisity of Applied Sciences,Bangalore",DENTAL,BDS,OTHERS,879500
2021,D108,"AECS Maruti College of Dental Sciences and Research Centre,Bangalore",DENTAL,BDS,GOVT,95808
2021,D108,"AECS Maruti College of Dental Sciences and Research Centre,Bangalore",DENTAL,BDS,PRIV,678473
2021,D108,"AECS Maruti College of Dental Sciences and Research Centre,Bangalore",DENTAL,BDS,NRI,762450
2021,D108,"AECS Maruti College of Dental Sciences and Research Centre,Bangalore",DENTAL,BDS,OTHERS,712450
2021,D111,"Dayananda Sagar College of Dental Sciences,Bangalore",DENTAL,BDS,GOVT,95808
2021,D111,"Dayananda Sagar College of Dental Sciences,Bangalore",DENTAL,BDS,PRIV,412450
2021,D111,"Dayananda Sagar College of Dental Sciences,Bangalore",DENTAL,BDS,NRI,412450
2021,D111,"Dayananda Sagar College of Dental Sciences,Bangalore",DENTAL,BDS,OTHERS,412450
2021,D112,"Oxford Dental College,Bangalore",DENTAL,BDS,GOVT,95808
2021,D112,"Oxford Dental College,Bangalore",DENTAL,BDS,PRIV,487450
2021,D112,"Oxford Dental College,Bangalore",DENTAL,BDS,NRI,487450
2021,D112,"Oxford Dental College,Bangalore",DENTAL,BDS,OTHERS,487450
2021,D113,"Sri Rajiv Gandhi Dental College,Bangalore",DENTAL,BDS,GOVT,95808
2021,D113,"Sri Rajiv Gandhi Dental College,Bangalore",DENTAL,BDS,PRIV,397450
2021,D113,"Sri Rajiv Gandhi Dental College,Bangalore",DENTAL,BDS,NRI,637450
2021,D113,"Sri Rajiv Gandhi Dental College,Bangalore",DENTAL,BDS,OTHERS,427450
