neet_roll_no,neet_score,neet_ai_rank,category,hk,rural,clause,karnataka
2707005468,323,306097,General Merit,No,No,Clause-a,Yes
2705013043,322,306141,Category-1,Yes,No,Clause-a,Yes
2702027293,322,306196,Category-2B,No,No,Clause-a,Yes
2702108525,322,306235,Sc,No,No,Clause-a,Yes
2703004055,322,306293,Category-2A,Yes,No,Clause-a,Yes
2708020101,322,306308,General Merit,No,No,Clause-a,Yes
2701007270,322,306343,Category-1,No,Yes,Clause-a,Yes
2705107349,322,306360,Category-3B,Yes,Yes,Clause-a,Yes
2702028258,322,306383,Category-3B,No,No,Clause-a,Yes
2706008222,322,306416,General Merit,No,No,Clause-a,Yes
2705016192,322,306449,Category-3B,Yes,No,Clause-a,Yes
2704001573,322,306464,Sc,No,Yes,Clause-a,Yes
2705117049,322,306466,Category-2B,Yes,No,Clause-a,Yes
2707003378,322,306473,General Merit,Yes,No,Clause-a,Yes
2705103463,322,306519,Category-2B,Yes,No,Clause-a,Yes
2705016193,322,306545,Category-3B,No,No,Clause-a,Yes
2703026104,322,306625,Category-2B,No,No,Clause-a,Yes
2705004104,322,306647,Category-2B,Yes,No,Clause-a,Yes
2705010111,322,306659,Category-2A,Yes,No,Clause-a,Yes
2702116209,322,306702,Category-3A,No,No,Clause-a,Yes
2702025358,322,306787,Category-2A,No,No,Clause-a,Yes
2709005291,322,306881,General Merit,No,Yes,Clause-a,Yes
2705016068,322,306895,Category-3B,Yes,Yes,Clause-a,Yes
2704006326,322,306896,Sc,Yes,No,Clause-a,Yes
2708011003,322,306981,Category-3A,No,No,Clause-a,Yes
2702111475,322,307029,Category-2B,No,No,Clause-a,Yes
2705120037,322,307063,Category-3B,Yes,No,Clause-a,Yes
2702028252,322,307129,Category-3A,No,Yes,Clause-a,Yes
2703015279,322,307145,Category-3B,No,Yes,Clause-a,Yes
2702036291,322,307200,Category-3A,No,No,Clause-a,Yes
2702019009,322,307213,Sc,No,No,Clause-a,Yes
2704001404,322,307234,Sc,No,No,Clause-a,Yes
2706012016,322,307262,Category-2A,No,No,Clause-a,Yes
2703017223,322,307271,Category-3B,Yes,No,Clause-a,Yes
2702036287,322,307292,Category-3B,No,No,Clause-a,Yes
2702101703,322,307299,General Merit,No,No,Clause-a,Yes
2702104396,322,307316,Category-3A,No,Yes,Clause-a,Yes
2702009559,322,307327,Category-3B,No,Yes,Clause-a,Yes
2705102155,322,307342,Category-2A,No,No,Clause-a,Yes
2704009151,322,307412,Category-3B,No,No,Clause-a,Yes
2702101646,322,307419,Category-3A,Yes,No,Clause-a,Yes
2703003154,322,307491,Category-3A,No,Yes,Clause-a,Yes
2702040121,322,307553,General Merit,No,No,Clause-a,Yes
2702110166,322,307564,Category-3A,No,No,Clause-a,Yes
2703007296,322,307607,Category-2A,No,No,Clause-a,Yes
2702005378,322,307611,General Merit,No,No,Clause-a,Yes
2702111429,322,307616,General Merit,No,No,Clause-a,Yes
2706008142,322,307730,General Merit,Yes,No,Clause-a,Yes
2702103323,322,307743,Category-2A,No,No,Clause-a,Yes
2707001463,321,307835,Category-2A,No,No,Clause-a,Yes
2702009118,321,307864,Category-1,No,No,Clause-a,Yes
2702104548,321,307890,Category-3B,No,Yes,Clause-a,Yes
2707004506,321,307956,Category-2B,No,No,Clause-a,Yes
2706013073,321,307963,Category-2B,No,No,Clause-a,Yes
2702026298,321,307981,Category-2B,No,No,Clause-a,Yes
2705105416,321,307995,Category-1,Yes,No,Clause-a,Yes
2702102788,321,308014,General Merit,No,No,Clause-a,Yes
2701005162,321,308040,Category-3B,No,No,Clause-a,Yes
2703029052,321,308171,Category-2B,No,No,Clause-a,Yes
2703012368,321,308188,Category-1,No,No,Clause-a,Yes
2705009121,321,308251,Category-2B,No,Yes,Clause-a,Yes
2702125039,321,308280,Category-3B,No,No,Clause-a,Yes
2702106031,321,308326,Category-3A,No,No,Clause-a,Yes
2702014130,321,308424,General Merit,No,No,Clause-a,Yes
2703026127,321,4786,,No,No,Clause-a,Yes
2703010300,321,308538,Sc,No,No,Clause-a,Yes
2701006276,321,308548,Category-2A,No,No,Clause-a,Yes
2702129163,321,308557,Category-3B,No,Yes,Clause-a,Yes
2701022025,321,308568,Category-3B,No,No,Clause-a,Yes
2703002469,321,308592,Sc,No,No,Clause-a,Yes
2706030155,321,308611,Category-1,Yes,No,Clause-a,Yes
2708028090,321,308648,Category-3A,No,No,Clause-a,Yes
2708004207,321,308677,Category-2A,No,No,Clause-a,Yes
2702110343,321,308768,Category-3A,No,No,Clause-a,Yes
2703022121,321,308797,General Merit,No,No,Clause-a,Yes
2702020197,321,308820,Category-2A,No,No,Clause-a,Yes
2702006542,321,308944,Category-3B,No,No,Clause-a,Yes
2705105380,321,308949,Category-2B,Yes,No,Clause-a,Yes
2708002191,321,308959,Category-3A,No,No,Clause-a,Yes
2707003409,321,309035,Category-3A,Yes,Yes,Clause-a,Yes
2708005171,321,309088,General Merit,No,No,Clause-a,Yes
2702008370,321,309097,Sc,No,No,Clause-a,Yes
2702106300,321,309104,General Merit,No,No,Clause-a,Yes
2702006606,321,309143,General Merit,No,No,Clause-y,No
2702118112,321,309159,Category-3A,No,No,Clause-a,Yes
2705113180,321,309290,Sc,Yes,Yes,Clause-a,Yes
2703006582,321,309384,Category-1,No,No,Clause-a,Yes
2708009357,321,309416,General Merit,No,No,Clause-a,Yes
2705104536,320,309468,Category-3B,Yes,No,Clause-a,Yes
2702108563,320,309479,Category-2B,No,No,Clause-a,Yes
2705105467,320,309493,Sc,Yes,No,Clause-a,Yes
2706021110,320,309505,Category-2B,No,No,Clause-a,Yes
2702101745,320,309552,Sc,No,No,Clause-a,Yes
2702114275,320,309554,General Merit,No,No,Clause-a,Yes
2702117271,320,309611,Category-3B,No,No,Clause-a,Yes
2707002013,320,309629,ST,No,Yes,Clause-a,Yes
2702117232,320,309656,Category-3B,No,No,Clause-a,Yes
2705111281,320,309716,Category-2B,Yes,No,Clause-a,Yes
2702038245,320,309757,Sc,No,No,Clause-a,Yes
2708010198,320,309788,Category-2B,No,No,Clause-a,Yes
2702002370,320,309803,General Merit,No,No,Clause-a,Yes
2706002391,320,309831,General Merit,No,No,Clause-a,Yes
2705001138,320,309890,Category-2A,Yes,Yes,Clause-a,Yes
2703008029,320,309922,Category-2A,No,No,Clause-a,Yes
2709005035,320,309972,General Merit,No,No,Clause-a,Yes
2705103276,320,309974,Category-3B,Yes,No,Clause-a,Yes
2704005109,320,310005,Sc,No,No,Clause-a,Yes
2708002347,320,310010,Sc,No,No,Clause-a,Yes
2702106708,320,310012,Category-3A,No,No,Clause-a,Yes
2703019283,320,310048,Sc,No,Yes,Clause-a,Yes
2706029030,320,310083,Sc,No,No,Clause-a,Yes
2702038159,320,310093,Category-3A,No,No,Clause-a,Yes
2706024410,320,310105,General Merit,No,No,Clause-a,Yes
2706024209,320,310121,General Merit,No,No,Clause-a,Yes
