year,round,college_code,college_name,course,seat_type,category,closing_rank
2023,R2,M053,,MBBS-GOVT.,GOVT,SCG,186670
2023,R2,M062,,MBBS-GOVT.,GOVT,SCG,189468
2023,R2,M085,,MBBS-GOVT.,GOVT,JK,169733
2023,R2,M086,,MBBS-GOVT.,GOVT,STR,169907
2023,R2,M070,,MBBS-GOVT.,GOVT,SCRH,170698
2023,R2,M061,,MBBS-GOVT.,GOVT,STR,171474
2023,R2,M071,,MBBS-PRIV.,PRIV,ME,292640
2023,R2,M073,,MBBS-GOVT.,GOVT,SCKH,172720
2023,R2,M044,,MBBS-GOVT.,GOVT,SCRH,178132
2023,R2,M093,,MBBS-GOVT.,GOVT,SCG,195515
2023,R2,M044,,MBBS-GOVT.,GOVT,SCKH,173252
2023,R2,M003,,MBBS-GOVT.,GOVT,STR,173540
2023,R2,M086,,MBBS-GOVT.,GOVT,SCH,181594
2023,R2,M087,,MBBS-GOVT.,GOVT,SCH,184490
2023,R2,M078,,MBBS-PRIV.,PRIV,ME,367018
2023,R2,M073,,MBBS-GOVT.,GOVT,SCRH,178821
2023,R2,M092,,MBBS-GOVT.,GOVT,STR,175171
2023,R2,M003,,MBBS-GOVT.,GOVT,SCR,175184
2023,R2,M044,,MBBS-GOVT.,GOVT,PH,175758
2023,R2,M036,,MBBS-GOVT.,GOVT,STR,175792
2023,R2,M042,,MBBS-GOVT.,GOVT,SCH,192605
2023,R2,M062,,MBBS-GOVT.,GOVT,STG,182323
2023,R2,M092,,MBBS-GOVT.,GOVT,JK,177797
2023,R2,M036,,MBBS-PRIV.,PRIV,GMP,227766
2023,R2,M092,,MBBS-GOVT.,GOVT,SCR,181289
2023,R2,M083,,MBBS-GOVT.,GOVT,SCG,191276
2023,R2,M002,,MBBS-GOVT.,GOVT,SCH,180263
2023,R2,M076,,MBBS-GOVT.,GOVT,JK,181184
2023,R2,M010,,MBBS-GOVT.,GOVT,SCR,181503
2023,R2,M086,,MBBS-GOVT.,GOVT,JK,181669
2023,R2,M076,,MBBS-GOVT.,GOVT,SCK,181699
2023,R2,M036,,MBBS-GOVT.,GOVT,SCR,181811
2023,R2,M050,,MBBS-GOVT.,GOVT,STR,181921
2023,R2,M043,,MBBS-GOVT.,GOVT,SCG,193216
2023,R2,M071,,MBBS-GOVT.,GOVT,STG,204663
2023,R2,M087,,MBBS-GOVT.,GOVT,STR,183245
2023,R2,M061,,MBBS-GOVT.,GOVT,SCR,195484
2023,R2,M043,,MBBS-GOVT.,GOVT,STH,195191
2023,R2,M009,,MBBS-GOVT.,GOVT,SCR,185303
2023,R2,M005,,MBBS-PRIV.,PRIV,GMP,213919
